Tahun,Bulan,Data
2018,Januari,35
2018,Februari,31
2018,Maret,24
2018,April,156
2018,Mei,87
2018,Juni,32
2018,Juli,20
2018,Agustus,17
2018,September,11
2018,Oktober,190
2018,November,123
2018,Desember,65
2019,Januari,30
2019,Februari,25
2019,Maret,21
2019,April,167
2019,Mei,124
2019,Juni,23
2019,Juli,17
2019,Agustus,16
2019,September,10
2019,Oktober,221
2019,November,213
2019,Desember,24
2020,Januari,30
2020,Februari,25
2020,Maret,21
2020,April,124
2020,Mei,104
2020,Juni,23
2020,Juli,17
2020,Agustus,13
2020,September,8
2020,Oktober,247
2020,November,210
2020,Desember,35
2021,Januari,34
2021,Februari,35
2021,Maret,39
2021,April,198
2021,Mei,172
2021,Juni,56
2021,Juli,45
2021,Agustus,30
2021,September,23
2021,Oktober,182
2021,November,170
2021,Desember,78
2022,Januari,30
2022,Februari,22
2022,Maret,15
2022,April,131
2022,Mei,64
2022,Juni,27
2022,Juli,20
2022,Agustus,18
2022,September,12
2022,Oktober,145
2022,November,111
2022,Desember,56
